               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              0.1052,             0.07228,            0.012694,             0.39769,             0.27013,             0.26569,             0.10149,            0.098018,             0.12998,            0.014579,            0.008812,            0.008812,            0.008812
                  38,             0.10436,            0.072366,            0.012681,             0.40098,             0.26906,             0.26608,             0.10183,            0.097841,             0.12936,             0.01457,            0.008779,            0.008779,            0.008779
                  39,             0.10447,             0.07182,            0.012711,             0.40156,             0.27153,             0.27002,             0.10352,            0.097814,             0.12946,            0.014483,            0.008746,            0.008746,            0.008746
                  40,             0.10421,             0.07131,             0.01263,             0.42039,             0.27349,             0.27225,             0.10594,            0.097468,             0.12936,            0.014536,            0.008713,            0.008713,            0.008713
                  41,             0.10419,            0.072192,            0.012683,             0.40062,             0.28125,             0.27434,              0.1067,            0.097357,             0.12888,            0.014341,             0.00868,             0.00868,             0.00868
                  42,             0.10418,            0.072357,            0.012704,             0.41478,             0.28291,             0.27643,             0.10584,            0.097354,              0.1291,            0.014312,            0.008647,            0.008647,            0.008647
                  43,             0.10385,            0.071941,            0.012314,              0.4128,             0.28104,             0.27661,             0.10731,            0.097304,             0.12964,            0.014174,            0.008614,            0.008614,            0.008614
                  44,             0.10371,            0.071216,            0.012396,             0.39509,             0.30032,             0.28154,             0.10978,            0.097091,             0.12898,            0.014089,            0.008581,            0.008581,            0.008581
                  45,             0.10395,            0.072467,            0.012155,              0.4061,             0.29033,             0.27993,             0.10804,            0.096943,             0.12983,            0.014263,            0.008548,            0.008548,            0.008548
                  46,             0.10411,            0.071969,            0.012209,              0.4089,             0.28979,             0.28197,              0.1086,            0.096982,             0.12952,            0.014451,            0.008515,            0.008515,            0.008515
                  47,             0.10341,            0.071868,            0.012188,             0.41999,             0.29781,             0.28812,             0.11224,            0.096652,             0.12944,            0.013998,            0.008482,            0.008482,            0.008482
                  48,             0.10328,            0.071315,            0.011929,             0.41429,             0.29144,             0.28436,             0.11133,             0.09673,             0.12959,            0.014197,            0.008449,            0.008449,            0.008449
                  49,              0.1035,            0.072288,            0.011963,             0.41326,             0.29527,             0.28869,             0.11406,            0.096587,             0.12976,            0.014069,            0.008416,            0.008416,            0.008416
                  50,             0.10295,            0.071061,            0.011951,             0.43559,             0.29031,             0.28979,             0.11492,            0.096403,             0.12968,            0.014061,            0.008383,            0.008383,            0.008383
                  51,             0.10277,            0.071708,            0.011992,             0.42231,             0.29915,             0.29032,             0.11412,              0.0964,             0.12904,            0.014003,             0.00835,             0.00835,             0.00835
                  52,             0.10293,            0.071845,            0.012036,             0.43551,             0.29223,             0.29233,              0.1152,            0.096292,              0.1293,            0.013955,            0.008317,            0.008317,            0.008317
                  53,             0.10286,            0.070585,            0.011857,             0.43983,             0.29578,             0.29802,             0.11718,            0.096224,             0.12969,            0.013933,            0.008284,            0.008284,            0.008284
                  54,             0.10284,            0.071521,            0.011993,             0.43144,             0.31008,             0.29851,             0.11687,            0.096067,             0.12911,            0.013901,            0.008251,            0.008251,            0.008251
                  55,             0.10247,            0.070919,            0.011596,             0.42507,             0.30154,             0.29579,             0.11695,            0.095922,             0.12953,            0.013919,            0.008218,            0.008218,            0.008218
                  56,             0.10218,            0.070784,            0.011661,             0.44083,             0.30378,             0.30036,             0.11985,            0.095958,              0.1289,            0.013818,            0.008185,            0.008185,            0.008185
                  57,             0.10221,            0.070347,            0.011694,             0.44009,              0.2957,              0.2967,             0.11864,            0.095903,              0.1291,            0.013885,            0.008152,            0.008152,            0.008152
                  58,             0.10204,            0.071252,            0.011671,             0.44225,             0.30594,             0.30287,             0.11969,            0.095848,             0.12964,            0.013778,            0.008119,            0.008119,            0.008119
                  59,             0.10199,            0.070441,            0.011587,              0.4377,             0.29903,             0.30073,             0.11997,            0.095617,             0.12904,            0.013585,            0.008086,            0.008086,            0.008086
                  60,             0.10196,            0.070629,            0.011529,             0.45497,             0.30665,             0.30542,             0.12202,            0.095547,             0.12919,            0.013752,            0.008053,            0.008053,            0.008053
                  61,             0.10213,            0.069358,            0.011374,             0.44846,               0.306,             0.30434,             0.12087,            0.095546,             0.12906,            0.013741,             0.00802,             0.00802,             0.00802
                  62,             0.10193,            0.070857,            0.011431,             0.43869,             0.31048,             0.30883,             0.12375,            0.095449,              0.1292,            0.013587,            0.007987,            0.007987,            0.007987
                  63,             0.10173,             0.07138,            0.011267,             0.46251,             0.31192,             0.31106,              0.1243,            0.095443,             0.12919,            0.013731,            0.007954,            0.007954,            0.007954
                  64,             0.10131,            0.070242,            0.011403,             0.45298,             0.30983,             0.30805,             0.12369,            0.095445,             0.12922,            0.013675,            0.007921,            0.007921,            0.007921
                  65,             0.10156,            0.069977,            0.011365,             0.45705,             0.31095,             0.30947,             0.12451,            0.095442,             0.12925,            0.013581,            0.007888,            0.007888,            0.007888
                  66,             0.10133,            0.069999,            0.010928,             0.46911,             0.30983,             0.31068,               0.124,            0.095282,             0.12935,            0.013508,            0.007855,            0.007855,            0.007855
                  67,             0.10089,            0.069677,            0.011251,             0.44332,             0.31472,             0.31014,             0.12582,            0.095164,             0.12929,            0.013587,            0.007822,            0.007822,            0.007822
                  68,             0.10129,            0.069278,            0.011106,             0.46168,             0.31054,              0.3132,             0.12597,            0.095131,             0.12916,            0.013574,            0.007789,            0.007789,            0.007789
                  69,             0.10134,             0.06878,            0.011079,             0.45621,             0.32004,             0.31511,             0.12648,            0.095152,             0.12918,            0.013639,            0.007756,            0.007756,            0.007756
                  70,             0.10128,            0.069835,            0.010984,             0.45456,             0.31429,             0.31244,             0.12599,            0.095058,              0.1295,            0.013605,            0.007723,            0.007723,            0.007723
                  71,             0.10081,            0.068395,            0.011147,             0.48614,             0.30553,              0.3149,             0.12611,            0.095004,             0.12893,            0.013632,             0.00769,             0.00769,             0.00769
                  72,             0.10039,            0.068857,            0.011031,             0.45762,              0.3094,             0.31151,             0.12726,            0.094941,             0.12936,            0.013558,            0.007657,            0.007657,            0.007657
                  73,             0.10124,            0.070315,            0.011002,             0.48826,             0.31121,             0.31737,             0.12908,            0.094809,             0.12936,            0.013474,            0.007624,            0.007624,            0.007624
                  74,             0.10072,            0.069866,            0.010745,             0.46984,             0.31292,             0.31719,             0.12823,            0.094847,             0.12914,            0.013522,            0.007591,            0.007591,            0.007591
                  75,             0.10036,            0.068904,            0.010964,             0.49055,             0.31065,             0.32029,             0.12952,             0.09483,             0.12913,            0.013486,            0.007558,            0.007558,            0.007558
                  76,              0.1001,            0.068969,            0.010888,             0.48061,             0.31519,             0.32044,             0.13014,            0.094711,             0.12931,            0.013451,            0.007525,            0.007525,            0.007525
                  77,             0.10053,            0.069625,            0.010776,             0.49192,             0.31565,              0.3219,             0.13053,            0.094634,             0.12916,             0.01337,            0.007492,            0.007492,            0.007492
                  78,             0.10024,            0.069357,            0.010683,             0.48922,             0.31522,             0.32308,              0.1318,            0.094541,             0.12909,            0.013377,            0.007459,            0.007459,            0.007459
                  79,             0.10025,            0.068271,            0.010487,             0.47627,             0.32443,             0.32317,             0.13151,            0.094555,             0.12937,            0.013361,            0.007426,            0.007426,            0.007426
                  80,              0.1001,            0.070008,            0.010618,             0.47048,             0.32246,             0.32633,             0.13328,            0.094548,             0.12924,             0.01332,            0.007393,            0.007393,            0.007393
                  81,            0.099744,            0.069919,            0.010714,             0.49182,             0.31623,             0.32499,             0.13361,            0.094452,             0.12929,            0.013403,             0.00736,             0.00736,             0.00736
                  82,             0.10007,            0.069626,            0.010601,             0.47982,             0.32498,             0.32804,               0.134,            0.094372,             0.12913,            0.013336,            0.007327,            0.007327,            0.007327
                  83,             0.10048,            0.069391,            0.010581,             0.48254,             0.32702,             0.32746,             0.13405,            0.094371,             0.12927,              0.0134,            0.007294,            0.007294,            0.007294
                  84,            0.099323,            0.068315,            0.010458,             0.49202,             0.32251,             0.32687,             0.13438,            0.094328,             0.12943,            0.013349,            0.007261,            0.007261,            0.007261
                  85,            0.099608,            0.068882,              0.0105,             0.47558,             0.32644,             0.32508,             0.13286,             0.09438,             0.12944,             0.01338,            0.007228,            0.007228,            0.007228
                  86,                 0.1,            0.068425,            0.010427,              0.4829,             0.32291,             0.32416,              0.1326,            0.094353,             0.12963,            0.013331,            0.007195,            0.007195,            0.007195
                  87,            0.099617,            0.069461,            0.010421,             0.47938,             0.32655,             0.32585,             0.13355,            0.094272,             0.12978,            0.013346,            0.007162,            0.007162,            0.007162
                  88,            0.099226,            0.068676,            0.010465,             0.49126,             0.32177,             0.32641,             0.13425,            0.094254,             0.12975,            0.013251,            0.007129,            0.007129,            0.007129
                  89,            0.099274,            0.068775,            0.010272,             0.48652,             0.32031,             0.32477,             0.13396,            0.094222,             0.12968,            0.013278,            0.007096,            0.007096,            0.007096
                  90,            0.099476,            0.068129,            0.010364,             0.48712,             0.31948,             0.32752,             0.13551,            0.094204,             0.12966,            0.013312,            0.007063,            0.007063,            0.007063
                  91,             0.09936,            0.068785,            0.010249,             0.48706,             0.32857,             0.32621,             0.13472,            0.094153,             0.12968,            0.013317,             0.00703,             0.00703,             0.00703
                  92,            0.099466,            0.068668,             0.01031,             0.48549,             0.32994,             0.32881,             0.13642,            0.094144,             0.12961,            0.013315,            0.006997,            0.006997,            0.006997
                  93,            0.099076,            0.068476,            0.010148,             0.48974,             0.33151,             0.33009,             0.13656,            0.094151,             0.12972,            0.013399,            0.006964,            0.006964,            0.006964
                  94,            0.098996,            0.068253,            0.010097,             0.49426,              0.3246,             0.32868,             0.13632,            0.094056,             0.12982,            0.013379,            0.006931,            0.006931,            0.006931
                  95,            0.099292,            0.068811,            0.010155,             0.48757,             0.32937,             0.33159,             0.13864,            0.093964,             0.12979,            0.013308,            0.006898,            0.006898,            0.006898
                  96,             0.09915,            0.069288,            0.010051,             0.47911,             0.33295,             0.33228,             0.13836,              0.0939,             0.12984,            0.013306,            0.006865,            0.006865,            0.006865
                  97,            0.098741,             0.06815,            0.010059,             0.48917,             0.34007,              0.3341,             0.13888,            0.093856,              0.1299,            0.013283,            0.006832,            0.006832,            0.006832
                  98,            0.098993,            0.068499,           0.0099915,             0.49352,             0.33133,             0.33553,              0.1396,            0.093812,             0.12989,            0.013298,            0.006799,            0.006799,            0.006799
                  99,            0.098972,            0.068734,            0.010005,              0.4872,             0.33535,             0.33396,             0.13899,            0.093816,                0.13,            0.013289,            0.006766,            0.006766,            0.006766
                 100,            0.098543,            0.068242,           0.0098784,             0.48228,             0.33799,             0.33396,             0.13939,             0.09381,             0.12999,            0.013282,            0.006733,            0.006733,            0.006733
                 101,            0.098288,            0.067508,           0.0099126,             0.49707,             0.33285,             0.33703,             0.14048,            0.093774,             0.12993,            0.013251,              0.0067,              0.0067,              0.0067
                 102,            0.098584,            0.067917,           0.0098823,             0.47927,             0.34119,             0.33879,             0.14062,            0.093735,             0.13004,            0.013223,            0.006667,            0.006667,            0.006667
